Season,Name,Team,Archetype,PC1,PC2,CY_winner,Share
2025,Ryne Nelson,ARI,North/South Power Starter,-0.6795688959169246,-1.9909165775141189,0,0.0
2025,Nick Lodolo,CIN,Kitchen Sink/Finesse Mix,-2.6584042455105923,-0.9450590406937814,0,0.0
2025,Bradley Blalock,COL,Power Splitter/Forkballer,6.469894176757439,-2.4631046319321928,0,0.0
2025,Ryan Gusto,TOT,Cutter/East-West Artist,0.09141989252376953,-1.8219350632742748,0,0.0
2025,Garrett Crochet,BOS,Kitchen Sink/Finesse Mix,-1.120025107378612,1.1348049654332075,0,0.63
2025,Emerson Hancock,SEA,Fastball/Sinker Hybrid,-0.4833220186462668,1.3041484309136344,0,0.0
2025,Max Meyer,MIA,Fastball/Sinker Hybrid,-0.666261202013787,1.2857853336279848,0,0.0
2025,Spencer Strider,ATL,North/South Power Starter,-1.0074653503716087,-1.6841019375971067,0,0.0
2025,Slade Cecconi,CLE,Cutter/East-West Artist,0.2692650430543524,-1.6805333672833518,0,0.0
2025,Logan Allen,CLE,Kitchen Sink/Finesse Mix,-1.1090888540305384,1.1283069100513008,0,0.0
2025,Mitchell Parker,WSN,Power Splitter/Forkballer,3.7998424685929493,-2.374311022909066,0,0.0
2025,Luis Ortiz,CLE,Cutter/East-West Artist,0.3032337533966078,1.1423458299946623,0,0.0
2025,Tanner Gordon,COL,North/South Power Starter,-1.7414158696185245,-0.9613673021541355,0,0.0
2025,Jack Kochanowicz,LAA,Fastball/Sinker Hybrid,-0.8743221591376461,1.3461613885422148,0,0.0
2025,Eury Perez,MIA,Fastball/Sinker Hybrid,-0.6661372799315662,-1.441324803689255,0,0.0
2025,Bryce Elder,ATL,Fastball/Sinker Hybrid,-1.0252122422064511,1.4266663335658427,0,0.0
2025,Brandon Pfaadt,ARI,Cutter/East-West Artist,-0.056891792295449134,-1.3828048524756917,0,0.0
2025,Brandon Young,BAL,Power Splitter/Forkballer,4.134419388253959,-3.0390607299163563,0,0.0
2025,J.T. Ginn,ATH,Cutter/East-West Artist,0.11740153863278766,1.4608238135863139,0,0.0
2025,Bryce Miller,SEA,Power Splitter/Forkballer,6.9575118899485275,3.9146619807989183,0,0.0
2025,Emmet Sheehan,LAD,North/South Power Starter,-0.5298966123799668,-2.0777323016313174,0,0.0
2025,Ryan Bergert,TOT,Fastball/Sinker Hybrid,-0.41959123380904756,-1.0724560390430204,0,0.0
2025,Michael McGreevy,STL,Cutter/East-West Artist,0.25490826439837816,-1.50951440997037,0,0.0
2025,Sean Burke,CHW,Fastball/Sinker Hybrid,-0.8191562066499063,-1.9422001244337646,0,0.0
2025,Andrew Abbott,CIN,North/South Power Starter,-2.0823008463050496,-1.4811410318422478,0,0.02
2025,Cade Povich,BAL,Kitchen Sink/Finesse Mix,-0.9548371701929992,-1.5864664120857068,0,0.0
2025,Landen Roupp,SFG,Cutter/East-West Artist,-0.11098950603646189,-2.0831298841495896,0,0.0
2025,Chad Patrick,MIL,Cutter/East-West Artist,4.2776796588721036,-1.4030509385052259,0,0.0
