Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2025,"Tanner Gordon","COL",75.1,0.52813505,,,,,,0.25,0.01045016,,,0.21141479,,,,"Tanner Gordon",27669,685299
2025,"Jack Kochanowicz","LAA",111,0.19096288,,,,,0.46745562,0.20118343,,,,0.14039806,,,,"Jack Kochanowicz",27688,686799
2025,"Eury Pérez","MIA",95.1,0.51524208,,,,,0.0083682,0.30663479,0.09145248,,,0.07830245,,,,"Eury Perez",27768,691587
2025,"Bryce Elder","ATL",156.1,0.12330947,,,,,0.42084328,0.35123309,,,,0.10461416,,,,"Bryce Elder",27779,693821
2025,"Brandon Pfaadt","ARI",176.2,0.23458904,,0.08938356,,,0.23356164,0.18630137,0.0989726,,,0.15719178,,,,"Brandon Pfaadt",27782,694297
2025,"Brandon Young","BAL",57.2,0.43829787,,0.09148936,0.17765957,,,0.0893617,0.15744681,,,0.04574468,,,,"Brandon Young",27819,687064
2025,"J.T. Ginn","ATH",75,0.00225904,,0.15060241,,,0.49924699,0.24171687,,,,0.1061747,,,,"J.T. Ginn",27889,669372
2025,"Bryce Miller","SEA",90.1,0.4095917,,0.01166559,0.18729747,,0.16526248,0.11860013,,0.10758263,,,,,,"Bryce Miller",29837,682243
2025,"Emmet Sheehan","LAD",59.2,0.44864865,,,,,,0.31135135,0.06378378,,,0.17621622,,,,"Emmet Sheehan",29839,686218
2025,"Ryan Bergert","- - -",72.1,0.41316416,,,,,0.06740682,0.43616178,0.00634417,,,0.07692308,,,,"Ryan Bergert",29863,686701
2025,"Michael McGreevy","STL",90,0.25848375,,0.09819495,,,0.21299639,0.19927798,0.12418773,,,0.10685921,,,,"Michael McGreevy",29869,700241
2025,"Sean Burke","CHW",104,0.4362851,,,,,0.04481641,0.23326134,0.22840173,,,0.05723542,,,,"Sean Burke",29878,680732
2025,"Andrew Abbott","CIN",166.1,0.47179679,,0.04295854,,,,0.13784087,0.1509152,,,0.19648861,,,,"Andrew Abbott",29911,671096
2025,"Cade Povich","BAL",103.2,0.35765222,,0.02907296,,,0.12397148,0.1206802,0.22051563,,,0.14810752,,,,"Cade Povich",30055,700249
2025,"Landen Roupp","SFG",106.2,0.00702323,,0.06699082,,,0.3987034,,0.35656402,,,0.17071853,,,,"Landen Roupp",30076,694738
2025,"Chad Patrick","MIL",115.2,0.218361,,0.4123444,0.00311203,,0.23495851,0.0560166,0.01400415,,,0.06120332,,,,"Chad Patrick",30113,694477
2025,"Gavin Williams","CLE",167.2,0.37367521,,0.14017094,,,0.06598291,0.19794872,0.22153846,,,0.00068376,,,,"Gavin Williams",30122,668909
2025,"Tanner Bibee","CLE",182.1,0.27349276,,0.20882452,,,0.15661839,0.15830246,0.05119569,,,0.15156618,,,,"Tanner Bibee",30134,676440
2025,"Jack Leiter","TEX",151.2,0.38235294,,,,,0.12577399,0.23335913,0.09442724,,,0.16408669,,,,"Jack Leiter",30146,683004
2025,"Will Warren","NYY",162.1,0.41577445,,,,,0.20985011,0.20628123,0.06995004,,,0.09814418,,,,"Will Warren",30182,701542
2025,"Noah Cameron","KCR",138.1,0.26386322,,0.21534196,,,,0.14279113,0.19316081,,,0.18484288,,,,"Noah Cameron",30184,702070
2025,"Hunter Dobbins","BOS",53,0.4041514,,,0.0964591,,0.01587302,0.35897436,0.12454212,,,,,,,"Hunter Dobbins",30240,690928
2025,"Bryan Woo","SEA",186.2,0.47273397,,,,,0.25571113,0.20044215,,,,0.07111275,,,,"Bryan Woo",30279,693433
2025,"Colton Gordon","HOU",70,0.41385135,,,,,0.10050676,0.30574324,0.1097973,,,0.07010135,,,,"Colton Gordon",31312,676467
2025,"Jacob Misiorowski","MIL",63.2,0.54397099,,,,,,0.25022665,0.14324569,,,0.06255666,,,,"Jacob Misiorowski",31623,694819
2025,"Shane Smith","CHW",146.1,0.45804051,,,,,0.1161637,0.11202976,0.14592807,,,0.16783795,,,,"Shane Smith",31687,681343
2025,"Jonathan Cannon","CHW",82.1,0.18175583,,0.25720165,,,0.22085048,0.14060357,,,,0.19958848,,,,"Jonathan Cannon",31730,686563
2025,"Zebby Matthews","MIN",79.1,0.3932003,,0.1315595,,,0.06060606,0.25055432,0.05838877,,,0.10569106,,,,"Zebby Matthews",31827,805673
2025,"Kodai Senga","NYM",113.1,0.31493165,,0.20294427,,0.28548896,0.05993691,0.11934805,0.0168244,,0.00052576,,,,,"Kodai Senga",31838,673540
2025,"Kumar Rocker","TEX",64.1,0.18899734,,0.25377107,,,0.27329193,0.15971606,0.06299911,,,0.06122449,,,,"Kumar Rocker",31843,677958
2025,"Spencer Schwellenbach","ATL",110.2,0.35346472,,0.11252384,0.13858868,,0.09980928,0.18118245,0.11443102,,,,,,,"Spencer Schwellenbach",31846,680885
2025,"Cade Horton","CHC",114,0.49795441,,,,,0.05844535,0.2063121,0.10461718,,,0.13267095,,,,"Cade Horton",31872,690990
2025,"Brad Lord","WSN",92,0.43808883,,,,,0.19851952,0.22611036,0.00067295,,,0.13660834,,,,"Brad Lord",31972,695418
2025,"Cam Schlittler","NYY",73,0.54748603,,0.207502,,,0.07182761,0.02394254,0.14924182,,,,,,,"Cam Schlittler",32095,693645
2025,"Chase Dollander","COL",98,0.48790096,,0.12155318,,,0.09848059,0.00168824,0.21271806,,,0.07765898,,,,"Chase Dollander",33482,801403
2025,"Hurston Waldrep","ATL",50.2,0.027127,,0.21948212,0.33045623,,0.17879162,0.11713933,0.1270037,,,,,,,"Hurston Waldrep",33527,694462
2025,"Paul Skenes","PIT",187.2,0.39906573,,,0.1364698,,0.09309309,0.21588255,0.04671338,,,0.10877544,,,,"Paul Skenes",33677,694973
2025,"Logan Evans","SEA",78.1,0.10783553,,0.26997673,,,0.16369279,0.23506594,0.10007758,,,0.12335144,,,,"Logan Evans",33699,688138
2025,"Yoshinobu Yamamoto","LAD",173.2,0.35640014,,0.1100753,0.25385443,,0.07493725,0.02868412,0.17604876,,,,,,,"Yoshinobu Yamamoto",33825,808967
2025,"Shota Imanaga","CHC",144.2,0.48667279,,,0.31387868,,0.01286765,0.17049632,0.01608456,,,,,,,"Shota Imanaga",33829,684007
2025,"Tomoyuki Sugano","BAL",157,0.19071763,,0.11973479,0.23478939,,0.15912637,0.19851794,0.09711388,,,,,,,"Tomoyuki Sugano",35321,608372
2024,"Lance Lynn","STL",117.1,0.47229034,,0.22265817,,,0.16723884,0.01275135,0.06228543,,,0.06277587,,,,"Lance Lynn",2520,458681
2024,"Charlie Morton","ATL",165.1,0.28878538,,0.0784665,,,0.09888929,,0.42386241,,,0.10999642,,,,"Charlie Morton",4676,450203
2024,"Albert Suárez","BAL",122,0.4987715,,0.19459459,,,,,0.14152334,,,0.16511057,,,,"Albert Suarez",6175,544150
