Season,Name,Team,IP,FA-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,NameASCII,PlayerId,MLBAMID
2025,"Quinn Priester","MIL",130.2,,47.26928128389371,,,45.34315814393939,47.3123746657754,50.95195978338068,,,47.17577385179924,,,"Quinn Priester",25977,682990
2025,"Brandon Walter","HOU",53.2,28.121065759355094,31.945689111547086,,,25.49213484221814,25.90657018442623,,,,20.24370969221896,,,"Brandon Walter",26056,687888
2025,"Andre Pallante","STL",162.2,58.22232366444074,,,,56.99849717881944,55.95595590588989,,61.66088418635171,,,,,"Andre Pallante",26108,669467
2025,"Ryan Pepiot","TBR",167.2,44.01848808545604,39.750501198743386,,,40.27614154237689,40.022673967332615,39.38917387201545,,,38.23297164351852,,,"Ryan Pepiot",26221,686752
2025,"Ryne Nelson","ARI",128,54.71287225705329,51.6326904296875,,,,50.863606770833336,52.78497103987069,,,44.990685751271805,,,"Ryne Nelson",26253,669194
2025,"Nick Lodolo","CIN",155.2,14.619940749737395,,,,13.297663309487952,,16.480077289140514,,,15.454521648044693,,,"Nick Lodolo",26378,666157
2025,"Bradley Blalock","COL",55.2,64.97790447210066,60.05524055325255,54.93825094288793,,,60.425513174019606,65.3444883765244,,,,,,"Bradley Blalock",26419,687134
2025,"Ryan Gusto","- - -",81.2,45.71516125716256,43.62535209876265,,,37.07572865326132,39.924221091074486,46.94323782859442,,,38.16307702725821,,,"Ryan Gusto",26440,687473
2025,"Garrett Crochet","BOS",205.1,33.28490611293859,36.74038375784817,,,30.7351515436747,40.66621794073705,,,,31.368426422574625,,,"Garrett Crochet",27463,676979
2025,"Emerson Hancock","SEA",81.1,21.881087624815088,,,,15.49524271729504,25.077037792487683,,,,16.97884363072519,,,"Emerson Hancock",27470,676106
2025,"Max Meyer","MIA",64.2,36.67075892857143,,,,36.359137736575704,37.90854472093621,,,,35.097813585069446,,,"Max Meyer",27474,676974
2025,"Spencer Strider","ATL",125.1,43.0337469646161,,,,,41.56440587197581,43.58468043550532,,,38.86986549613402,,,"Spencer Strider",27498,675911
2025,"Slade Cecconi","CLE",132,39.60506465517241,36.56445966448103,,,33.66858824339207,38.704435516515545,47.91255170036764,,,35.531754032258064,,,"Slade Cecconi",27500,677944
2025,"Logan Allen","CLE",155.2,38.78180248618784,38.059922873402556,,,29.162560519366195,35.24908729565391,,,,36.233180984311744,,,"Logan Allen",27589,671106
2025,"Mitchell Parker","WSN",158.1,64.17277768225584,,57.2552490234375,,,50.512134106128244,59.31570652173913,,,,,,"Mitchell Parker",27636,680730
2025,"Luis Ortiz","CLE",88.2,19.895219936933106,21.26043170431386,,,16.462530663395903,25.508866886246786,,,,27.757148034793815,,,"Luis Ortiz",27646,682847
2025,"Tanner Gordon","COL",75.1,43.201594011605785,,,,,40.868839178054664,42.68968787560096,,,44.747567876663496,,,"Tanner Gordon",27669,685299
2025,"Jack Kochanowicz","LAA",111,31.180650308098592,,,,28.402188668728424,30.367234500334224,,,,30.72618459650383,,,"Jack Kochanowicz",27688,686799
2025,"Eury Pérez","MIA",95.1,31.691809563515083,,,,24.659744262695312,27.193814342714425,36.253433925653596,,,26.14224639193702,,,"Eury Perez",27768,691587
2025,"Bryce Elder","ATL",156.1,50.52470703125,,,,50.435971467391305,53.08578266562854,,,,51.575659458174904,,,"Bryce Elder",27779,693821
2025,"Brandon Pfaadt","ARI",176.2,30.711658873175182,24.56550451987548,,,26.625598538306452,24.189277200137866,31.026215127595155,,,23.191831767429193,,,"Brandon Pfaadt",27782,694297
2025,"Brandon Young","BAL",57.2,49.67754949180825,48.181640625,47.049018174588326,,,48.49317859468006,51.232200828758444,,,42.416665720385176,,,"Brandon Young",27819,687064
2025,"J.T. Ginn","ATH",75,48.30927530924479,43.1136083984375,,,46.44681784973605,41.65141586351246,,,,44.54664990580674,,,"J.T. Ginn",27889,669372
2025,"Bryce Miller","SEA",90.1,47.016246167919306,46.144500732421875,38.272694096020764,,43.059401807598036,42.481330579747265,,46.003009106739455,,,,,"Bryce Miller",29837,682243
2025,"Emmet Sheehan","LAD",59.2,35.55813723644578,,,,,32.772369384765625,38.36644680217161,,,33.107155267446316,,,"Emmet Sheehan",29839,686218
2025,"Ryan Bergert","- - -",72.1,52.63621453634837,,,,46.166242532169115,47.51229758522727,53.77497863769531,,,42.96358403471327,,,"Ryan Bergert",29863,686701
2025,"Michael McGreevy","STL",90,34.347544409043294,31.484242158777572,,,33.019064486228814,30.955286882925726,36.99847270167151,,,34.39883010451858,,,"Michael McGreevy",29869,700241
2025,"Sean Burke","CHW",104,43.72190690748762,,,,41.4136624623494,40.0370189525463,43.90874796838062,,,37.80782217349646,,,"Sean Burke",29878,680732
2025,"Andrew Abbott","CIN",166.1,47.25757125890736,47.66212635869565,,,,47.90256605691057,49.756255801361384,,,46.04123841492395,,,"Andrew Abbott",29911,671096
2025,"Cade Povich","BAL",103.2,41.939255416027606,43.33315982458726,,,41.26553425746681,40.27356178977273,41.874567591728855,,,39.41906467013889,,,"Cade Povich",30055,700249
2025,"Landen Roupp","SFG",106.2,24.522867056039665,23.783309444304436,,,20.544302591463413,,28.470969460227273,,,16.980376038370252,,,"Landen Roupp",30076,694738
2025,"Chad Patrick","MIL",115.2,36.73195331057007,31.43079304245283,35.32404073079427,,35.14662665562914,38.30512604890046,36.184920699508105,,,31.587896831965043,,,"Chad Patrick",30113,694477
2025,"Gavin Williams","CLE",167.2,34.385814558554436,32.0152939214939,,,30.668269814604923,32.918491607297064,39.20617826485339,,,37.178714752197266,,,"Gavin Williams",30122,668909
2025,"Tanner Bibee","CLE",182.1,56.390596136083744,52.6423828125,,,52.97073252688172,51.21001911569149,60.19441303453947,,,53.711888020833335,,,"Tanner Bibee",30134,676440
2025,"Jack Leiter","TEX",151.2,43.98382148279352,,,,43.89518028846154,47.651864376036485,51.87281474129098,,,43.52160414209906,,,"Jack Leiter",30146,683004
2025,"Will Warren","NYY",162.1,26.307909737124465,,,,25.78767239317602,27.412688892192907,34.93390515385842,,,27.730767045454545,,,"Will Warren",30182,701542
2025,"Noah Cameron","KCR",138.1,57.988212839316986,57.881622183476395,,,,58.18543942152104,63.793744392942585,,,51.106982421875,,,"Noah Cameron",30184,702070
2025,"Hunter Dobbins","BOS",53,52.434301831571,,44.386969071400316,,48.21227557842548,45.18774580144558,50.76499789368872,,,,,,"Hunter Dobbins",30240,690928
2025,"Bryan Woo","SEA",186.2,25.03319246882307,,,,24.434134095821324,25.484944063074447,,,,23.833766798898964,,,"Bryan Woo",30279,693433
2025,"Colton Gordon","HOU",70,33.914373405612245,,,,30.548924550288866,24.49047716678177,34.10723407451923,,,32.02163438911898,,,"Colton Gordon",31312,676467
2025,"Jacob Misiorowski","MIL",63.2,29.317425130208335,,,,,27.679420360620473,35.84007861946203,,,28.90509475486866,,,"Jacob Misiorowski",31623,694819
2025,"Shane Smith","CHW",146.1,32.5699987308213,,,,33.15228814501779,34.000663053505534,38.55609286473088,,,30.301372960283253,,,"Shane Smith",31687,681343
